position,surah,ayah,position_in_ayah,page,line,juz,number,number_last,text,rasm_imlai,marks,resegmented
0,1,1,1,1,1,1,1,1,بِسۡمِ,بسم,,0
1,1,1,2,1,1,1,2,2,ٱللَّهِ,الله,,0
2,1,1,3,1,1,1,3,3,ٱلرَّحۡمَٰنِ,الرحمن,,0
3,1,1,4,1,1,1,4,4,ٱلرَّحِيمِ,الرحيم,,0
4,1,2,1,1,2,1,5,5,ٱلۡحَمۡدُ,الحمد,,0
5,1,2,2,1,2,1,6,6,لِلَّهِ,لله,,0
6,1,2,3,1,2,1,7,7,رَبِّ,رب,,0
7,1,2,4,1,2,1,8,8,ٱلۡعَٰلَمِينَ,العالمين,,0
8,1,3,1,1,3,1,9,9,ٱلرَّحۡمَٰنِ,الرحمن,,0
9,1,3,2,1,3,1,10,10,ٱلرَّحِيمِ,الرحيم,,0
10,1,4,1,1,3,1,11,11,مَٰلِكِ,مالك,,0
11,1,4,2,1,3,1,12,12,يَوۡمِ,يوم,,0
12,1,4,3,1,3,1,13,13,ٱلدِّينِ,الدين,,0
13,1,5,1,1,4,1,14,14,إِيَّاكَ,إياك,,0
14,1,5,2,1,4,1,15,15,نَعۡبُدُ,نعبد,,0
15,1,5,3,1,4,1,16,16,وَإِيَّاكَ,وإياك,,0
16,1,5,4,1,4,1,17,17,نَسۡتَعِينُ,نستعين,,0
17,1,6,1,1,4,1,18,18,ٱهۡدِنَا,اهدنا,,0
18,1,6,2,1,5,1,19,19,ٱلصِّرَٰطَ,الصراط,,0
19,1,6,3,1,5,1,20,20,ٱلۡمُسۡتَقِيمَ,المستقيم,,0
20,1,7,1,1,5,1,21,21,صِرَٰطَ,صراط,,0
21,1,7,2,1,5,1,22,22,ٱلَّذِينَ,الذين,,0
22,1,7,3,1,5,1,23,23,أَنۡعَمۡتَ,أنعمت,,0
23,1,7,4,1,6,1,24,24,عَلَيۡهِمۡ,عليهم,,0
24,1,7,5,1,6,1,25,25,غَيۡرِ,غير,,0
25,1,7,6,1,6,1,26,26,ٱلۡمَغۡضُوبِ,المغضوب,,0
26,1,7,7,1,6,1,27,27,عَلَيۡهِمۡ,عليهم,,0
27,1,7,8,1,7,1,28,28,وَلَا,ولا,,0
28,1,7,9,1,7,1,29,29,ٱلضَّآلِّينَ,الضالين,,0
29,2,1,1,2,1,1,30,30,الٓمٓ,الم,,0
